dataset,image,psnr_db,ssim,rmse
LC25000,lungaca84.jpeg,14.026061164518765,0.9073777159906795,50.72675977737384
LC25000,lungaca394.jpeg,17.103427507689144,0.9080403732491783,35.593345073405786
LC25000,lungaca215.jpeg,16.17556023731234,0.8818207239039714,39.6061081071249
LC25000,lungaca88.jpeg,16.722777608165064,0.8744567972645209,37.187869651232354
LC25000,lungaca311.jpeg,15.7120959725477,0.8983952403068569,41.77682027553709
LC25000,lungaca213.jpeg,16.893994695194362,0.8489100781950434,36.46199655300673
LC25000,lungaca352.jpeg,16.84751081029724,0.8951938403259708,36.65765165228143
LC25000,lungaca266.jpeg,17.849282015216207,0.8881289081218156,32.66450488145183
LC25000,lungaca486.jpeg,15.468043522369738,0.9149822202612553,42.9672940817633
LC25000,lungaca348.jpeg,16.655206987872727,0.889443722747632,37.47829549475635
LC25000,lungaca337.jpeg,13.36051145654141,0.7576853230730588,54.766452148950215
LC25000,lungaca141.jpeg,16.473399849790958,0.8971556733084304,38.271033283584174
LC25000,lungaca135.jpeg,17.56048705625297,0.8954829058126311,33.7688155275138
LC25000,lungaca244.jpeg,16.86705773849859,0.8872773672483677,36.575249174817365
LC25000,lungaca97.jpeg,15.64971956108372,0.8686931705230801,42.077914069707425
LC25000,lungaca53.jpeg,16.23515393992878,0.8584599511429208,39.33530150983249
LC25000,lungaca178.jpeg,14.065902722690659,0.866892502249836,50.49461256553641
LC25000,lungaca299.jpeg,16.067349921385464,0.8301081421482167,40.102614212263326
LC25000,lungaca124.jpeg,17.947663185973955,0.9070584178955471,32.29661609414851
LC25000,lungaca11.jpeg,15.4424019231142,0.8508486681197204,43.09432516558673
LC25000,lungaca96.jpeg,16.574468526221764,0.9062706918817135,37.82829386290178
LC25000,lungaca144.jpeg,15.68826163258931,0.8230219645614075,41.89161454250557
LC25000,lungaca273.jpeg,15.172047774764101,0.7757310409882038,44.45675830857647
LC25000,lungaca150.jpeg,14.552897738073298,0.9031060674410815,47.741415734938464
LC25000,lungaca188.jpeg,15.61890577273138,0.7864686854455926,42.227453445371
LC25000,lungaca403.jpeg,17.378109455559077,0.8809992995723027,34.48535552272312
LC25000,lungaca63.jpeg,15.553989187306618,0.8387983443583747,42.54423521339169
LC25000,lungaca175.jpeg,15.368474274344841,0.7819304531013073,43.462676437072304
LC25000,lungaca77.jpeg,16.431084323101178,0.8867530230839854,38.457935283892894
LC25000,lungaca450.jpeg,17.27585274210831,0.9308398192015698,34.89374181549559
LC25000,lungaca45.jpeg,17.264250612128055,0.8901868585086441,34.94038208470468
LC25000,lungaca115.jpeg,16.239015691823575,0.8890446640074948,39.317816897622635
LC25000,lungaca70.jpeg,17.20182452443193,0.8484183800248815,35.1924055901087
LC25000,lungaca351.jpeg,15.557254667555828,0.8578593452093828,42.52824361623393
LC25000,lungaca136.jpeg,16.354780874100765,0.8991596226561526,38.79726727778779
LC25000,lungaca21.jpeg,15.410483957511351,0.8887729036012878,43.252974835619284
LC25000,lungaca15.jpeg,16.161695915525772,0.8689255245082803,39.669377424007216
LC25000,lungaca157.jpeg,16.50079571203553,0.8614762562784106,38.15051411188385
LC25000,lungaca50.jpeg,16.725736650731953,0.8890030558662012,37.175202929444964
LC25000,lungaca31.jpeg,15.421400608211062,0.8553671403868021,43.198647525531634
LC25000,lungaca152.jpeg,17.837251826195896,0.936833280659096,32.70977743731027
LC25000,lungaca62.jpeg,16.923485350654243,0.9317622194668479,36.33840934922879
LC25000,lungaca74.jpeg,15.261170512811642,0.8440749570421594,44.00293599874962
LC25000,lungaca287.jpeg,14.545973615513681,0.8855884750041345,47.77948888824521
LC25000,lungaca24.jpeg,15.810646493229845,0.9145673569876814,41.305497350240564
LC25000,lungaca117.jpeg,17.53811436843955,0.8739305670475712,33.85590769928874
LC25000,lungaca89.jpeg,16.707504235700313,0.872258025130544,37.253318773426244
LC25000,lungaca52.jpeg,16.660084767491565,0.8920052511823902,37.45725452461767
LC25000,lungaca365.jpeg,14.403834920655424,0.8959376518954615,48.56780032851728
LC25000,lungaca234.jpeg,18.065213498973975,0.9260998249039082,31.862474836013607
LC25000,lungaca121.jpeg,15.926025606197786,0.8950466966208097,40.76044343983826
LC25000,lungaca412.jpeg,14.759756421050751,0.8542236038704735,46.617862800967295
LC25000,lungaca298.jpeg,15.818214548689964,0.8296092043425437,41.269523355472856
LC25000,lungaca22.jpeg,17.56628943602607,0.9061145354118386,33.746264692907
LC25000,lungaca336.jpeg,14.00173633037419,0.748024252597589,50.86901917512281
LC25000,lungaca388.jpeg,18.30932149236197,0.9040397787946217,30.97947872289452
LC25000,lungaca251.jpeg,17.30237320462239,0.921308800478879,34.78736389720807
LC25000,lungaca90.jpeg,13.326348720664258,0.7415680627329061,54.9822799034379
LC25000,lungaca393.jpeg,16.52892348842525,0.8450348237168539,38.02716998244696
LC25000,lungaca216.jpeg,16.716691706889655,0.8502385829280382,37.21393503073579
LC25000,lungaca10.jpeg,15.053910335391585,0.9167463068078229,45.06554874510834
LC25000,lungaca195.jpeg,17.0143397663708,0.8911891746976967,35.96029055423206
LC25000,lungaca151.jpeg,14.507005132027338,0.9006377741308587,47.994328952673946
LC25000,lungaca494.jpeg,15.418568979725254,0.9093526428527196,43.21273272197296
LC25000,lungaca25.jpeg,15.62646707632037,0.892763464998121,42.19070929231518
LC25000,lungaca379.jpeg,17.15011865456822,0.8465668035047463,35.402525779718864
LC25000,lungaca268.jpeg,18.752547258115886,0.8972386571008757,29.438306150251734
LC25000,lungaca42.jpeg,16.585095789564463,0.9196071078517297,37.78203891084394
LC25000,lungaca203.jpeg,16.841212927900877,0.9053726242447442,36.684240672612106
LC25000,lungaca267.jpeg,17.073759584843483,0.873037413774116,35.715127198493626
LC25000,lungaca315.jpeg,16.706507431995774,0.8867626977700135,37.25759425683383
LC25000,lungaca375.jpeg,15.832022859201835,0.8959903441103315,41.20396764498471
LC25000,lungaca334.jpeg,16.734404629749836,0.858993921947329,37.13812288800314
LC25000,lungaca414.jpeg,15.72855446782873,0.8510446984574808,41.69773424015317
LC25000,lungaca228.jpeg,17.065041928060516,0.9300086413738038,35.75099094206063
LC25000,lungaca105.jpeg,17.974374773046875,0.9166966474615817,32.197447355792384
LC25000,lungaca133.jpeg,16.70081501089735,0.914777291455187,37.282019553079465
LC25000,lungaca49.jpeg,16.981420871596132,0.8958419934421258,36.09683604513109
LC25000,lungaca265.jpeg,13.984376570991548,0.8912501270357335,50.9707884838357
LC25000,lungaca237.jpeg,16.79011898126233,0.8842978022151469,36.90066827683698
LC25000,lungaca3.jpeg,14.020158088638118,0.9102504121559972,50.7612462492527
LC25000,lungaca51.jpeg,13.150379764539451,0.8753482576474472,56.107535407992216
